T23,Threatened species,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
44,Bahamas,2016,Threatened Species: Invertebrates (number),12.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2017,Threatened Species: Invertebrates (number),12.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2018,Threatened Species: Invertebrates (number),12.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2019,Threatened Species: Invertebrates (number),12.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2020,Threatened Species: Invertebrates (number),12.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2004,Threatened Species: Plants (number),5.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2010,Threatened Species: Plants (number),7.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2016,Threatened Species: Plants (number),8.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2017,Threatened Species: Plants (number),8.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2018,Threatened Species: Plants (number),7.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2019,Threatened Species: Plants (number),12.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2020,Threatened Species: Plants (number),12.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2004,Threatened Species: Total (number),42.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2010,Threatened Species: Total (number),62.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2016,Threatened Species: Total (number),85.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2017,Threatened Species: Total (number),86.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2018,Threatened Species: Total (number),90.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2019,Threatened Species: Total (number),95.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
44,Bahamas,2020,Threatened Species: Total (number),96.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2004,Threatened Species: Vertebrates (number),18.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2010,Threatened Species: Vertebrates (number),19.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2016,Threatened Species: Vertebrates (number),23.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2017,Threatened Species: Vertebrates (number),23.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2018,Threatened Species: Vertebrates (number),27.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2019,Threatened Species: Vertebrates (number),33.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2020,Threatened Species: Vertebrates (number),34.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2004,Threatened Species: Invertebrates (number),0.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2010,Threatened Species: Invertebrates (number),13.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2016,Threatened Species: Invertebrates (number),13.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2017,Threatened Species: Invertebrates (number),13.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2018,Threatened Species: Invertebrates (number),13.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2019,Threatened Species: Invertebrates (number),13.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2020,Threatened Species: Invertebrates (number),13.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2004,Threatened Species: Plants (number),0.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2010,Threatened Species: Plants (number),0.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2016,Threatened Species: Plants (number),0.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2017,Threatened Species: Plants (number),0.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2018,Threatened Species: Plants (number),0.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2019,Threatened Species: Plants (number),0.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2020,Threatened Species: Plants (number),0.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2004,Threatened Species: Total (number),18.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2010,Threatened Species: Total (number),32.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2016,Threatened Species: Total (number),36.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2017,Threatened Species: Total (number),36.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2018,Threatened Species: Total (number),40.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2019,Threatened Species: Total (number),46.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
48,Bahrain,2020,Threatened Species: Total (number),47.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2004,Threatened Species: Vertebrates (number),73.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2010,Threatened Species: Vertebrates (number),104.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2016,Threatened Species: Vertebrates (number),120.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2017,Threatened Species: Vertebrates (number),123.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2018,Threatened Species: Vertebrates (number),125.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2019,Threatened Species: Vertebrates (number),128.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2020,Threatened Species: Vertebrates (number),133.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2004,Threatened Species: Invertebrates (number),0.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2010,Threatened Species: Invertebrates (number),2.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2016,Threatened Species: Invertebrates (number),7.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2017,Threatened Species: Invertebrates (number),7.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2018,Threatened Species: Invertebrates (number),7.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2019,Threatened Species: Invertebrates (number),7.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2020,Threatened Species: Invertebrates (number),7.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2004,Threatened Species: Plants (number),12.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2010,Threatened Species: Plants (number),16.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2016,Threatened Species: Plants (number),21.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2017,Threatened Species: Plants (number),21.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2018,Threatened Species: Plants (number),22.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2019,Threatened Species: Plants (number),23.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2020,Threatened Species: Plants (number),25.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2004,Threatened Species: Total (number),85.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2010,Threatened Species: Total (number),122.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2016,Threatened Species: Total (number),148.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2017,Threatened Species: Total (number),151.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2018,Threatened Species: Total (number),154.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2019,Threatened Species: Total (number),158.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
50,Bangladesh,2020,Threatened Species: Total (number),165.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2004,Threatened Species: Vertebrates (number),18.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2010,Threatened Species: Vertebrates (number),24.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2016,Threatened Species: Vertebrates (number),39.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2017,Threatened Species: Vertebrates (number),42.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2018,Threatened Species: Vertebrates (number),43.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2019,Threatened Species: Vertebrates (number),44.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2020,Threatened Species: Vertebrates (number),48.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2004,Threatened Species: Invertebrates (number),0.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2010,Threatened Species: Invertebrates (number),10.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2016,Threatened Species: Invertebrates (number),11.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2017,Threatened Species: Invertebrates (number),11.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2018,Threatened Species: Invertebrates (number),11.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2019,Threatened Species: Invertebrates (number),11.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2020,Threatened Species: Invertebrates (number),11.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2004,Threatened Species: Plants (number),2.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2010,Threatened Species: Plants (number),2.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2016,Threatened Species: Plants (number),3.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2017,Threatened Species: Plants (number),3.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2018,Threatened Species: Plants (number),3.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2019,Threatened Species: Plants (number),3.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2020,Threatened Species: Plants (number),3.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2004,Threatened Species: Total (number),20.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2010,Threatened Species: Total (number),36.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2016,Threatened Species: Total (number),53.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2017,Threatened Species: Total (number),56.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2018,Threatened Species: Total (number),57.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2019,Threatened Species: Total (number),58.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
52,Barbados,2020,Threatened Species: Total (number),62.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2004,Threatened Species: Vertebrates (number),10.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2010,Threatened Species: Vertebrates (number),10.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2016,Threatened Species: Vertebrates (number),14.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2017,Threatened Species: Vertebrates (number),15.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2018,Threatened Species: Vertebrates (number),15.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2019,Threatened Species: Vertebrates (number),15.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2020,Threatened Species: Vertebrates (number),15.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2004,Threatened Species: Invertebrates (number),8.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2010,Threatened Species: Invertebrates (number),6.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2016,Threatened Species: Invertebrates (number),9.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2017,Threatened Species: Invertebrates (number),9.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2018,Threatened Species: Invertebrates (number),10.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2019,Threatened Species: Invertebrates (number),10.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2020,Threatened Species: Invertebrates (number),10.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2004,Threatened Species: Plants (number),0.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2010,Threatened Species: Plants (number),0.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2016,Threatened Species: Plants (number),1.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2017,Threatened Species: Plants (number),1.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2018,Threatened Species: Plants (number),1.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2019,Threatened Species: Plants (number),3.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2020,Threatened Species: Plants (number),5.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2004,Threatened Species: Total (number),18.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2010,Threatened Species: Total (number),16.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2016,Threatened Species: Total (number),24.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2017,Threatened Species: Total (number),25.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2018,Threatened Species: Total (number),26.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2019,Threatened Species: Total (number),28.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
112,Belarus,2020,Threatened Species: Total (number),30.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2004,Threatened Species: Vertebrates (number),25.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2010,Threatened Species: Vertebrates (number),15.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2016,Threatened Species: Vertebrates (number),23.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2017,Threatened Species: Vertebrates (number),22.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2018,Threatened Species: Vertebrates (number),23.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2019,Threatened Species: Vertebrates (number),23.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2020,Threatened Species: Vertebrates (number),25.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2004,Threatened Species: Invertebrates (number),11.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2010,Threatened Species: Invertebrates (number),11.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2016,Threatened Species: Invertebrates (number),14.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2017,Threatened Species: Invertebrates (number),14.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2018,Threatened Species: Invertebrates (number),15.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2019,Threatened Species: Invertebrates (number),15.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2020,Threatened Species: Invertebrates (number),15.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2004,Threatened Species: Plants (number),0.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2010,Threatened Species: Plants (number),1.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2016,Threatened Species: Plants (number),1.0000,Break in the time series.,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2017,Threatened Species: Plants (number),1.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2018,Threatened Species: Plants (number),1.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2019,Threatened Species: Plants (number),17.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2020,Threatened Species: Plants (number),26.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2004,Threatened Species: Total (number),36.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2010,Threatened Species: Total (number),27.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2016,Threatened Species: Total (number),38.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2017,Threatened Species: Total (number),37.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2018,Threatened Species: Total (number),39.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2019,Threatened Species: Total (number),55.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
56,Belgium,2020,Threatened Species: Total (number),66.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
84,Belize,2004,Threatened Species: Vertebrates (number),36.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
84,Belize,2010,Threatened Species: Vertebrates (number),48.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
84,Belize,2016,Threatened Species: Vertebrates (number),70.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
84,Belize,2017,Threatened Species: Vertebrates (number),69.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
84,Belize,2018,Threatened Species: Vertebrates (number),69.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
84,Belize,2019,Threatened Species: Vertebrates (number),73.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
84,Belize,2020,Threatened Species: Vertebrates (number),78.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
84,Belize,2004,Threatened Species: Invertebrates (number),1.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
84,Belize,2010,Threatened Species: Invertebrates (number),12.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
84,Belize,2016,Threatened Species: Invertebrates (number),12.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
84,Belize,2017,Threatened Species: Invertebrates (number),12.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
